代码 / Code,名称 / Name,类 / Category,注释 /Notes
A00/09,标准化管理与一般规定,A,
A10/19,经济、文化,A,
A20/39,基础标准,A,
A40/49,基础学科,A,
A50/64,计量,A,
A65/74,标准物质,A,综合性标准样品入此，专业标准样品入各专业类。
A75/79,测绘,A,
A80/89,标志、包装、运输、贮存,A,
A90/94,社会公共安全,A,
B00/09,农业、林业综合,B,用于生产、流通过程中保证符合文字标准要求的农业、林业标样分别入本类各有关类目。
B10/14,土壤与肥料,B,
B15/19,植物保护,B,
B20/29,粮食与饲料作物,B,
B30/39,经济作物,B,
B40/49,畜牧,B,
B50/59,水产、渔业,B,
B60/79,林业,B,
B90/99,农、林机械与设备,B,拖拉机入T60/69。
C00/09,医药、卫生、劳动保护综合,C,用于生产、流通过程保证符合文字标准要求的医药、卫生标样分别列入本类各有关类目。
C10/29,医药,C,兽用药及兽医入B42。放射性药品入F54。
C30/49,医疗器械,C,兽用医疗器械入B42。
C50/64,卫生,C,
C65/74,劳动安全技术,C,
C75/79,劳动保护管理,C,
C80/89,消防,C,
C90/99,制药、安全机械与设备,C,
D00/09,矿业综合,D,用于生产、流通过程中保证符合文字标准要求的矿产品标样分别入本类各类目。矿山铁路入S类。
D10/19,地质矿产勘察与开发,D,油气田勘察与开发入E10/19
D20/29,固体燃料矿,D,品位、储量及其分析方法分别入各矿产品类。
D30/39,黑色金属矿,D,品位、储量及其分析方法分别入各矿产品类。烧结矿、球团矿入H31。
D40/49,有色金属矿,D,品位、储量及其分析方法分别入各矿产品类。
D50/59,非金属矿,D,品位、储量及其分析方法分别入各矿产品类。
D80/89,地质勘探设备,D,通用仪器仪表入N91，凿岩机械入J84，通用运输、提升机械入J81。
D90/99,矿山机械设备,D,
E00/09,石油综合,E,用于生产、流通过程中保证符合文字标准要求的石油产品标样分别入本类各有关类目。
E10/19,石油勘探、开发与集输,E,油气田地面建设、生产设施工程入P类。
E20/29,石油 天然气,E,
E30/49,石油产品,E,
E60/69,石油产品添加剂,E,
E90/99,石油勘探、开发、集输设备,E,石油炼制设备入G90/93。
F00/09,能源、核技术综合,F,各种能源综合性标准入本类F00/09。常规能源：煤炭入D20/24，石油、天然气入E20/27，燃料油入E31，电工基础和产品标准（含电力）入K类。用于生产、流通过程中保证符合文字标准要求的核技术标样分别入本类各有关类目。综合性、系统性的电力标准入此。
F10/19,能源,F,
F20/29,电力,F,电站、输配电工程入P类。
F40/49,核材料、核燃料,F,
F50/59,同位素与放射源,F,
F60/69,核反应堆,F,
F70/79,辐射防护与监测,F,
F80/89,核仪器与核探测器,F,通用的仪器、仪表入N类。
F90/99,低能加速器,F,
G00/09,化工综合,G,造纸入Y30/39，皮革入Y45/49，食品发酵、酿造入X60/69，绝缘漆入K15，食品添加剂入X40/49，合成饲料添加剂入B46，建筑胶粘剂入Q27，胶鞋入Y78。用于生产、流通过程中保证符合文字标准要求的化工标样分别入本类各有关类目。
G10/14,无机化工原料,G,
G15/19,有机化工原料,G,
G20/29,化肥、农药,G,
G30/39,合成材料,G,合成树脂、塑料、橡胶及胶粘剂等。建筑用塑料制品入Q22，日用塑料制品入Y28，塑料鞋入Y75或Y78。
G40/49,橡胶制品及其辅助材料,G,胶鞋入Y78。
G50/59,涂料、颜料、染料,G,
G60/69,化学试剂,G,化学分析用标准物质入A65。
G70/79,化学助剂、表面活性剂、催化剂、水处理剂,G,
G80/84,信息用化学品,G,
G85/89,其他化工产品,G,
G90/99,化工机械与设备,G,石油炼制机械与设备入此。通用机械设备分别入各有关类。
H00/09,冶金综合,H,用于生产、流通过程中保证符合文字标准要求的冶金标样分别入本类各有关类目。冶金用原料矿入D类，耐火材料入Q40/49。
H10/19,金属化学分析方法,H,
H20/29,金属理化性能试验方法,H,
H30/34,冶金原料与辅助材料,H,石墨电极、炭电极入Q50/52，石灰入Q27。黑色、有色金属矿，非金属矿（如：石灰石、萤石）等矿产品入D30/59。
H40/59,钢铁产品,H,
H60/69,有色金属及其合金产品,H,
H70/74,粉末冶金,H,
H80/84,半金属与半导体材料,H,
H90/99,冶金机械设备,H,起重、运输机械入J80/81，轨道车辆入S55/56。
J00/09,机械综合,J,通用机械入此，特使机械设备按照专业各入其类。本类各种机械设备制造工艺与工艺装备入各机械设备类。各种机械设备的维修标准按产品各入其类。
J10/29,通用零部件,J,
J30/39,加工工艺,J,粉末冶金工艺入H70/74。表面处理，表面防护入A29。
J40/49,工艺装备,J,
J50/59,金属切削机床,J,
J60/69,通用加工机械与设备,J,
J70/89,通用机械与设备,J,
J90/99,活塞式内燃机与其他动力设备,J,汽车专用发动机入T10/19。船舶专用发动机入U40/44。航天专用发动机入V30/34。铁路机车专用发动机入V72。动车专用发动机入S40/49。发电用动力设备入K50/59。
K00/09,电工综合,K,综合性、系统性电力标准入F20/29。各种电力设备的运行、检修、试验规程按设备分别入类。火花塞、电热塞入T37。
K10/19,电工材料和通用零件,K,
K20/29,旋转电机,K,
K30/39,低压电器,K,
K40/49,输变电设备,K,
K50/59,发电用动力设备,K,热工术语、符号入A22。
K60/69,电气设备与器具,K,火花塞、电热塞入T37。电焊设备入J64。家用电器入Y60/69。
K70/79,电气照明,K,
K80/89,电源,K,
K90/99,电工生产设备,K,
L00/09,电子元器件与信息技术综合,L,
L10/34,电子元件,L,
L35/39,电真空器件,L,
L40/49,半导体分立器件,L,
L50/54,光电子器件,L,
L55/59,微电路,L,
L60/69,计算机,L,
L70/84,信息处理技术,L,
L85/89,电子测量与仪器,L,工频仪表入N20/29。
L90/94,电子设备与专用材料、零件、结构件,L,
L95/99,电子工业生产设备,L,生产工艺随产品入各有关类目。
M00/09,通信、广播综合,M,
M10/29,通信网,M,
M30/49,通信设备,M,
M50/59,雷达、导航、遥控、遥测、天线,M,
M60/69,广播、电视网,M,
M70/79,广播、电视设备,M,
M80/89,邮政,M,
M90/99,通信 广播设备生产机械,M,
N00/09,仪器、仪表综合,N,
N10/19,工业自动化仪表与控制装置,N,
N20/29,电工仪器仪表,N,
N30/39,光学仪器,N,
N40/49,电影、照相、缩微、复印设备,N,
N50/59,物质成份分析仪器与环境监测仪器,N,
N60/69,实验室仪器与真空仪器,N,
N70/79,试验机与无损探伤仪器,N,金属无损伤检验方法入H26。
N90/99,其他仪器仪表,N,
P00/09,工程建设综合,P,
P10/14,工程勘察与岩土工程,P,
P15/19,工程抗震、工程防火、人防工程,P,
P20/29,工程结构,P,
P30/39,工业与民用建筑工程,P,
P40/44,给水、排水工程,P,
P45/49,供热、供气、空调及制冷工程,P,
P50/54,城乡规划与市政工程,P,
