代码 / Code,名称 / Name,代码 / Code,备注 / Notes
A00,标准化、质量管理,A00/09,标准化工作法规、导则，质量监督法规、导则，产品质量认证制度等。
A01,技术管理,A00/09,技术文件管理，能源管理，设备、工具管理等。
A02,经济管理,A00/09,计划、供销、财务、劳资管理等。
A10,商业、贸易、合同,A10/19,商业、贸易、商检与合同等。
A11,金融、保险,A10/19,银行工作、会计制度、证券格式、货币、规范、信贷、信托等。
A12,供应与使用关系,A10/19,消费者标准等。
A13,文件格式,A10/19,证件、行政文件、表格、卡片等。
A14,图书馆、档案、文献与情报工作,A10/19,收集、加工、报道、服务和管理等。包括自动化处理，手工、机器检索，机器翻译以及缩微技术。缩微设备入N47。
A15,电影与摄影技术,A10/19,术语、设计、工艺试验方法质量评定、电影与摄影技术等。电影胶片、照相胶卷入G80/81，照相级化学药品入G84/85，电影与摄影设备入N40/44和N46。电光源入K71。
A16,服务标准,A10/19,
A17,印刷技术,A10/19,印刷材料入此。印刷机械入J87。
A18,教育、学位、学衔,A10/19,
A19,编辑、出版,A10/19,文字、印刷符号、校对符号、出版规定等。
A20,综合技术,A20/39,优先数与优先数系统、抽样、价值工程等
A21,环境条件与通用试验方法,A20/39,环境条件分级入此。
A22,术语、符号,A20/39,术语编制原则，通用的术语、图形符号、文字符号等。
A24,分类编码,A20/39,国家、部门、行业、职业、产品、文献等的分类编码。
A25,人类工效学,A20/39,
A26,颜色,A20/39,安全色入此。
A28,筛分、筛板与筛网,A20/39,术语、系列等。
A29,材料防护,A20/39,金属、非金属材料防护（如电镀、涂装等）及其试验方法等。
A31,爆破技术,A20/39,定向爆破、微型爆破、爆炸成型、震源射孔、切割等。
A40,基础学科综合,A40/49,
A41,数学,A40/49,数理统计方法等。
A42,物理学与力学,A40/49,热与热力学、光学、流体力学、空气力学、声学与振动、电学、磁学等。摩擦、磨损入此。
A43,化学,A40/49,基本化学分析方法等。
A44,地球科学,A40/49,
A45,海洋学,A40/49,术语、水文、气象等海洋要素分析，海洋规范、监测、环境资料标准等。
A46,天文学,A40/49,时间表示法等。
A47,气象学,A40/49,大气标准、气象灾害等。
A50,计量综合,A50/64,术语、符号、测量技术的基本规定等。
A51,量和单位,A50/64,量和单位的名称、符号、定义等。换算值入此。
A52,长度计量,A50/64,长度、角度基准、主要用于标准器的计量器具及检定装置等。直尺、卷尺等入此。
A53,力学计量,A50/64,力学基准、主要用于标准器的计量器具及检定装置等。杠杆式衡器、秤具入此。电子秤入N13。
A54,热学计量,A50/64,热学基准、主要用于标准器的计量器具及检定装置等。
A55,电磁计量,A50/64,电磁基准、主要用于标准器的计量器具及检定装置等。
A56,无线电计量,A50/64,无线电基准、主要用于标准器的计量器具及检定装置等。
A57,时间、频率计量,A50/64,时间、频率基准，主要用于标准器的计量器具及检定装置等。
A58,电离幅射计量,A50/64,电离辐射基准、主要用于标准器的计量器具及检定装置等。
A59,声学计量,A50/64,声学基准、主要用于标准器的计量器具及检定装置等。
A60,光学计量,A50/64,光学基准、主要用于标准器的计量器具及检定装置等。
A61,化学计量,A50/64,化学基准、主要用于标准器的计量器具及检定装置等。
A65,金属化学成分标准物质,A65/74,用于金属化学成分分析仪器的校准，分析方法的评价以统一量值的物质或材料。
A66,非金属化学成分标准物质,A65/74,用于非金属化学成分分析仪器的校准，分析方法的评价，以统一量值的物质或材料。
A67,物理特性标准物质,A65/74,用于物理特性测量仪器的校准，测量方法的评价，以统一量值的物质或材料。
